timestamp,vehicle_type,cumulative_count
2025-08-21 01:15:20,car,1
2025-08-21 01:15:20,car,2
2025-08-21 01:15:25,truck,1
2025-08-21 01:15:25,car,3
2025-08-21 01:15:27,car,4
2025-08-21 01:15:29,car,5
2025-08-21 01:15:33,car,6
2025-08-21 01:15:33,car,7
2025-08-21 01:15:36,car,8
2025-08-21 01:15:39,car,9
2025-08-21 01:15:40,bus,1
2025-08-21 01:15:43,truck,2
2025-08-21 01:15:45,car,10
2025-08-21 01:15:48,car,11
2025-08-21 01:15:48,car,12
2025-08-21 01:15:48,car,13
2025-08-21 01:15:52,car,14
2025-08-21 01:15:53,car,15
2025-08-21 01:15:57,car,16
2025-08-21 01:15:58,truck,3
2025-08-21 01:15:59,bus,2
2025-08-21 01:16:00,motorbike,1
2025-08-21 01:16:03,car,17
2025-08-21 01:16:06,car,18
2025-08-21 01:16:06,car,19
2025-08-21 01:16:18,car,20
2025-08-21 01:16:25,car,21
2025-08-21 01:16:26,car,22
2025-08-21 01:16:38,car,23
2025-08-21 01:16:38,car,24
2025-08-21 01:16:40,car,25
2025-08-21 01:16:44,car,26
2025-08-21 01:16:52,car,27
2025-08-21 01:16:58,car,28
2025-08-21 01:16:58,car,29
2025-08-21 01:17:01,car,30
2025-08-21 01:17:08,car,31
2025-08-21 01:17:08,truck,4
2025-08-21 01:17:09,truck,5
2025-08-21 01:17:18,car,32
2025-08-21 01:17:18,car,33
2025-08-21 01:17:21,car,34
2025-08-21 01:17:30,bus,3
2025-08-21 01:17:32,car,35
2025-08-21 01:17:44,car,36
2025-08-21 01:17:46,car,37
2025-08-21 01:17:52,car,38
2025-08-21 01:17:54,car,39
2025-08-21 01:17:58,car,40
2025-08-21 01:18:01,car,41
2025-08-21 01:18:12,car,42
2025-08-21 01:18:12,car,43
2025-08-21 01:18:12,truck,6
2025-08-21 01:18:15,car,44
2025-08-21 01:18:17,bus,4
2025-08-21 01:18:17,car,45
2025-08-21 01:18:18,car,46
2025-08-21 01:18:20,car,47
2025-08-21 01:18:20,truck,7
2025-08-21 01:18:24,car,48
2025-08-21 01:18:28,car,49
2025-08-21 01:18:30,car,50
2025-08-21 01:18:31,car,51
2025-08-21 01:18:33,car,52
